Fri Dec  9 21:10:11 2022    output.dat

         127371434 function calls (122847050 primitive calls) in 16267.607 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       70    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       54    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\_collections_abc.py:409(__subclasshook__)
    45/39    0.000    0.000    0.004    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\utilities\misc.py:171(__setattr__)
       42    0.000    0.000    0.006    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\colors.py:610(<listcomp>)
       42    0.000    0.000    0.016    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\colors.py:614(_from_str)
       42    0.000    0.000    0.015    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\colors.py:605(_from_hex)
       35    0.000    0.000    0.001    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\plotting.py:1628(store_click_position)
       35    0.001    0.000    0.003    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\render_window_interactor.py:200(_click_event)
       35    0.000    0.000    0.001    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\render_window_interactor.py:736(get_event_position)
       35    0.001    0.000    0.003    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\render_window_interactor.py:881(_press)
       35    0.001    0.000    0.191    0.005 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\render_window_interactor.py:892(_release)
       35    0.001    0.000    0.001    0.000 {method 'OnLeftButtonDown' of 'vtkmodules.vtkInteractionStyle.vtkInteractorStyleTrackballCamera' objects}
       35    0.190    0.005    0.190    0.005 {method 'OnLeftButtonUp' of 'vtkmodules.vtkInteractionStyle.vtkInteractorStyleTrackballCamera' objects}
       35    0.000    0.000    0.000    0.000 {method 'GetEventPosition' of 'vtkmodules.vtkRenderingCore.vtkRenderWindowInteractor' objects}
       35    0.000    0.000    0.000    0.000 {built-in method time.time}
       34    1.854    0.055   20.372    0.599 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:611(destroy_triangles)
       30    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\vtkmodules\numpy_interface\dataset_adapter.py:128(__getattr__)
       26    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\types.py:176(__get__)
    26/21    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
       25    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\colors.py:685(float_rgba)
       25    0.000    0.000    0.000    0.000 {method 'GetPositional' of 'vtkmodules.vtkRenderingCore.vtkLight' objects}
       24    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\torch\storage.py:437(_untyped)
       24    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\colors.py:711(float_rgb)
       24    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\vtkmodules\numpy_interface\dataset_adapter.py:152(_make_tensor_array_contiguous)
       24    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       23    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\enum.py:796(name)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
       21    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\_collections_abc.py:315(__subclasshook__)
       21    1.810    0.086    1.810    0.086 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:614(<listcomp>)
       21    0.143    0.007    0.143    0.007 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:615(<listcomp>)
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       20    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\lights.py:539(positional)
       20    0.000    0.000    0.000    0.000 {method 'GetConeAngle' of 'vtkmodules.vtkRenderingCore.vtkLight' objects}
       20    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFCF6924920}
       20    0.002    0.000    0.002    0.000 {built-in method nt.stat}
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       19    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       18    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\torch\serialization.py:1035(find_class)
       18    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\vtkmodules\util\numpy_support.py:72(get_vtk_to_numpy_typemap)
